Information Technology;10;3737.3015873015875;0.1984126984126984;178893.1008;178830.1152
Information Technology;11;47.99851348481631;0.005308982798895732;330224.504;178893.1008
Information Technology;12;179.9026656343325;0.011060723371308484;398302.3065;330224.504
Information Technology;13;88.95173685828466;0.006148170919151552;620769.5781;398302.3065
Information Technology;14;35.754769145700855;0.006911805363560962;1061837.713;620769.5781
Information Technology;15;51.16953411946646;0.019331142470520007;2134423.71;1061837.713
Information Technology;16;0.1511144692104269;0.037778617302606725;2783380.1155;2134423.71
Information Technology;17;18400.0;25.0;6737868.217;2783380.1155
Information Technology;18;26.222826086956523;0.1358695652173913;4720967.04;6737868.217
Information Technology;19;2.0725388601036268;0.5181347150259067;7973976.046;4720967.04
Information Technology;20;25.0;25.0;15632865.16;7973976.046
Information Technology;21;3900.0;100.0;13945679.98;15632865.16
Information Technology;22;0;2.5641025641025643;0;13945679.98
Information Technology;24;0;9.090909090909092;0;24062187.15
Information Technology;26;0;0;0;15992470.43
Administration;10;181.20721841941506;0.06222775357809583;332516.2408;174987.9936
Administration;11;71.15384615384616;0.034340659340659344;682119.24105;332516.2408
Administration;12;37.06563706563706;0.04826254826254826;1084738.909;682119.24105
Administration;13;61.197916666666664;0.13020833333333334;1793445.6135;1084738.909
Administration;14;34.8936170212766;0.2127659574468085;2182889.412;1793445.6135
Administration;15;101.82926829268293;0.6097560975609756;3515711.846;2182889.412
Administration;16;0;0.5988023952095808;0;3515711.846
Administration;18;33.333333333333336;3.0303030303030303;7187279.513;5181880.47
Administration;19;0;9.090909090909092;0;7187279.513
Administration;22;0;16.666666666666668;0;9555358.1875
Administration;24;0;33.333333333333336;0;10951941.29
Administration;27;0;0;0;21375573.91
Supply Chain Management;10;84.0363448326808;0.014774322227967792;198134.93745;140070.6432
Supply Chain Management;11;59.14205344585091;0.017580872011251757;599222.8289;198134.93745
Supply Chain Management;12;37.18787158145065;0.029726516052318668;1051037.7025;599222.8289
Supply Chain Management;13;73.02158273381295;0.07993605115907274;1462976.064;1051037.7025
Supply Chain Management;14;65.1888341543514;0.10946907498631636;2262279.626;1462976.064
Supply Chain Management;15;89.75650713685978;0.16792611251049538;3487361.998;2262279.626
Supply Chain Management;16;0.5612722170252572;0.18709073900841908;3759654.026;3487361.998
Supply Chain Management;17;3433.3333333333335;33.333333333333336;6173628.83;3759654.026
Supply Chain Management;18;40.29126213592233;0.970873786407767;7738565.859;6173628.83
Supply Chain Management;19;2.4096385542168677;2.4096385542168677;13483297.4955;7738565.859
Supply Chain Management;20;0;100.0;0;13483297.4955
Supply Chain Management;22;3.5714285714285716;7.142857142857143;10316067.91;10322034.17
Supply Chain Management;23;900.0;200.0;14718908.98;10316067.91
Supply Chain Management;24;0;22.22222222222222;0;14718908.98
Supply Chain Management;27;0;0;0;15286082.025
Project Management;10;1928.5714285714287;21.428571428571427;448494.7587;267873.6744
Project Management;11;390.0;1.1111111111111112;714939.03;448494.7587
Project Management;12;105.12820512820512;0.2849002849002849;825382.4315;714939.03
Project Management;13;224.11924119241192;0.27100271002710025;900195.498;825382.4315
Project Management;14;152.55945183393794;0.12091898428053205;972369.8763;900195.498
Project Management;15;116.56538969616909;0.07926023778071334;1806494.742;972369.8763
Project Management;16;0.04533091568449683;0.06799637352674524;6506808.5215;1806494.742
Project Management;17;7950.0;150.0;5660866.114;6506808.5215
Project Management;18;37.106918238993714;1.8867924528301887;6844000.61;5660866.114
Project Management;19;0;5.084745762711864;0;6844000.61
Project Management;22;0;23.076923076923077;0;8501078.199
Project Management;24;0;0;0;10366686.97
Health, Safety and Environment;10;1162.5;12.5;434328.92315;234945.76015
Health, Safety and Environment;11;368.2795698924731;1.075268817204301;600914.5013;434328.92315
Health, Safety and Environment;12;70.94890510948905;0.291970802919708;968693.80645;600914.5013
Health, Safety and Environment;13;72.42798353909465;0.411522633744856;1539076.267;968693.80645
Health, Safety and Environment;14;68.4659090909091;0.5681818181818182;2171445.086;1539076.267
Health, Safety and Environment;15;123.65145228215768;0.8298755186721992;3166263.3145;2171445.086
Health, Safety and Environment;16;0;0.6711409395973155;0;3166263.3145
Health, Safety and Environment;18;64.86486486486487;5.405405405405405;6452695.0135;5229982.12
Health, Safety and Environment;19;0;8.333333333333334;0;6452695.0135
Health, Safety and Environment;22;0;50.0;0;10910069.3425
Health, Safety and Environment;24;0;100.0;0;10697906.83
Health, Safety and Environment;27;0;0;0;8168305.0615
Software Development;11;2447.706422018349;1.834862385321101;648436.4656;190440.4608
Software Development;12;167.87856071964018;0.07496251874062969;1169682.538;648436.4656
Software Development;13;22.080821611966957;0.044652824291136414;1534700.587;1169682.538
Software Development;14;307.7856420626896;0.20222446916076844;2811136.3555;1534700.587
Software Development;15;93.3311432325887;0.0657030223390276;2856469.6;2811136.3555
Software Development;16;0;0.0703977472720873;0;2856469.6
Software Development;18;40.69767441860465;0.7751937984496124;8039165.042;8332908.101
Software Development;19;0;1.9047619047619047;0;8039165.042
Software Development;22;0;7.407407407407407;0;19237363.84
Software Development;24;0;13.333333333333334;0;26420565.5
Software Development;27;0;0;0;46911166.005
Education;10;34600.0;50.0;358168.3518;302485.428
Education;11;23.84393063583815;0.14450867052023122;800353.3054;358168.3518
Education;12;7.2727272727272725;0.6060606060606061;1315577.0;800353.3054
Education;13;2058.3333333333335;8.333333333333334;1169307.47;1315577.0
Education;14;14.17004048582996;0.4048582995951417;2672129.0;1169307.47
Education;15;45.714285714285715;2.857142857142857;5026620.396;2672129.0
Education;16;0;6.25;0;5026620.396
Education;18;0;10.0;0;10340884.933
