Information Technology;[13, 14, 15];[201134, 216628, 231045, 246153, 259473, 270627, 281355, 290425, 298578, 306138, 314732, 319981, 324712, 328445, 333897, 339490, 343425, 346811, 355230, 359793, 364117, 369738, 375589, 379005, 385154, 390773, 396565, 402328, 408657, 413418, 419649, 425281, 431730, 438757, 443292, 450681, 456462, 463763, 469077, 477002, 484716, 491562, 498800, 502727, 510165, 517557, 525914, 530811, 539722, 547833, 557151, 561573, 571806, 580340, 589931, 596678, 606426, 615923, 621941, 688613, 722518, 733714, 742667, 754016, 765050, 777173, 785246, 799813, 811679, 824053, 837282, 846153, 859979, 874176, 888002, 904548, 920727, 939830, 956511, 975209, 992309, 1012743, 1042943, 1070915, 1101934, 1138211, 1178306, 1228074, 1284676, 1393925, 1514751, 1688293, 1833161, 1973958, 2116348, 2307809, 2540267, 2864081, 3338752, 7544143]
Information Technology;[14, 15];[310525, 331097, 343952, 358827, 368891, 378175, 385840, 394211, 401831, 410338, 418376, 426095, 433845, 442273, 450772, 458468, 467161, 474827, 483791, 491171, 498913, 504744, 512601, 519761, 527491, 533455, 541575, 549294, 557010, 559940, 569069, 576624, 583323, 589931, 594339, 600635, 607886, 614065, 620148, 622677, 715065, 721953, 728584, 736546, 742667, 746874, 754669, 762303, 768594, 777173, 779916, 787475, 796335, 804356, 811647, 817277, 825705, 833353, 842327, 846153, 852364, 862653, 872294, 880676, 887790, 897934, 908281, 917263, 929320, 940267, 949753, 962426, 974767, 985230, 997100, 1011472, 1028115, 1051194, 1069826, 1090504, 1113531, 1141288, 1171126, 1204822, 1249486, 1296605, 1396398, 1493809, 1614431, 1748350, 1890986, 2001835, 2125101, 2288892, 2486429, 2708593, 2933196, 3233087, 3687251, 7544143]
Information Technology;[14, 15, 16];[315096, 334810, 348458, 364021, 375125, 384711, 393628, 402454, 412271, 421202, 429262, 438963, 448871, 457798, 467382, 476081, 485828, 494566, 501429, 509756, 518108, 526997, 534160, 543182, 551761, 559714, 565760, 575081, 582708, 589931, 595412, 602447, 610471, 618060, 620627, 688419, 721953, 728859, 737734, 742667, 750023, 758428, 766327, 775106, 779469, 787804, 797559, 805545, 812668, 822036, 830551, 840087, 846153, 851880, 863138, 873265, 880676, 892807, 902906, 915150, 924895, 936826, 949656, 960750, 974013, 985413, 998089, 1013781, 1031607, 1051900, 1072748, 1093352, 1116912, 1141746, 1171136, 1204336, 1240530, 1278705, 1341604, 1449980, 1522190, 1594860, 1682899, 1759391, 1852555, 1944875, 2038014, 2140079, 2263056, 2397381, 2555754, 2722604, 2881620, 3062755, 3277481, 3554931, 3947121, 4435671, 5314879, 10981015]
Information Technology;[15, 16];[449603, 495608, 525135, 549890, 576357, 596523, 614516, 719573, 736641, 753748, 766373, 780923, 793404, 808759, 821437, 831433, 842720, 851921, 864068, 873126, 886741, 899383, 907542, 920909, 931282, 941311, 954157, 964556, 975769, 986905, 994204, 1005008, 1016459, 1029181, 1045152, 1053477, 1070841, 1081696, 1100812, 1111476, 1127542, 1144045, 1166314, 1183024, 1204399, 1230675, 1250761, 1276699, 1302194, 1430996, 1457515, 1488825, 1527309, 1554827, 1588225, 1617478, 1657008, 1696963, 1732590, 1774085, 1814112, 1857057, 1895039, 1938393, 1971607, 2014424, 2059049, 2096155, 2141528, 2187953, 2245003, 2294212, 2351543, 2417451, 2484231, 2541969, 2601874, 2674885, 2745822, 2800585, 2873285, 2925838, 3008855, 3076045, 3160788, 3237312, 3319546, 3422181, 3514667, 3650812, 3801192, 3974105, 4151470, 4337129, 4580619, 4844797, 5253859, 5807563, 6693723, 10981015]
Information Technology;[15, 16, 17];[449655, 495659, 525201, 549903, 576384, 596588, 614532, 719816, 736741, 753803, 766416, 781101, 793513, 808820, 821790, 831568, 842775, 851977, 864092, 873174, 886889, 899518, 907608, 920926, 931435, 941395, 954187, 964610, 976146, 987195, 994618, 1005242, 1016630, 1029370, 1045804, 1053921, 1071134, 1081804, 1101080, 1111531, 1127679, 1144621, 1166768, 1183148, 1204655, 1230675, 1250982, 1277329, 1303041, 1431125, 1458333, 1490124, 1527939, 1555613, 1588687, 1619887, 1658211, 1698591, 1732590, 1774995, 1814521, 1857710, 1895700, 1938981, 1973817, 2014875, 2059851, 2097170, 2141924, 2189277, 2247523, 2295027, 2353252, 2417855, 2485399, 2542963, 2602517, 2675948, 2746274, 2801771, 2873869, 2927815, 3013014, 3076131, 3161238, 3238227, 3320264, 3423248, 3515757, 3651145, 3801668, 3974537, 4153286, 4336821, 4579947, 4844270, 5253505, 5806455, 6692425, 10981015]
Information Technology;[16, 17];[766857, 840378, 885112, 915731, 947761, 976532, 997818, 1020056, 1043520, 1057821, 1079543, 1098248, 1119848, 1142691, 1161654, 1180585, 1203396, 1225738, 1237684, 1253921, 1276562, 1291202, 1434630, 1454850, 1472783, 1490153, 1513277, 1533797, 1540874, 1562958, 1589558, 1606532, 1626471, 1647871, 1667599, 1696953, 1720605, 1737095, 1763915, 1793023, 1814003, 1836597, 1868353, 1908716, 1944801, 1974969, 2020290, 2055892, 2087120, 2135314, 2171840, 2223746, 2256893, 2314766, 2352100, 2429842, 2481661, 2512790, 2556839, 2624077, 2681546, 2731569, 2780363, 2831666, 2884145, 2937708, 2992134, 3052477, 3099028, 3176686, 3231032, 3278005, 3353452, 3432429, 3489082, 3589359, 3672467, 3760106, 3862998, 3948499, 4015307, 4100757, 4223805, 4282537, 4348321, 4461499, 4586104, 4703710, 4815832, 4994446, 5162618, 5306998, 5478599, 5673970, 5963779, 6193414, 6630022, 7217945, 8026920, 10981015]
Information Technology;[16, 17, 18];[793214, 871108, 913044, 954515, 985319, 1015573, 1042674, 1063161, 1085996, 1116051, 1143398, 1167872, 1196932, 1219807, 1241075, 1264724, 1290250, 1434557, 1459413, 1483047, 1507407, 1537400, 1555193, 1585252, 1605291, 1634694, 1659887, 1691473, 1720667, 1743994, 1777917, 1810504, 1844088, 1883663, 1930846, 1974539, 2029889, 2074400, 2121552, 2174076, 2236304, 2295423, 2348891, 2433338, 2499704, 2544498, 2618617, 2689923, 2755768, 2817484, 2884350, 2951531, 3027397, 3090631, 3165477, 3240233, 3316880, 3393765, 3481811, 3600917, 3701456, 3811683, 3927980, 4012249, 4115962, 4244220, 4332501, 4431860, 4559922, 4676464, 4795583, 4967029, 5163259, 5292889, 5463461, 5634194, 5872525, 6089389, 6126506, 6126506, 6126506, 6178711, 6253775, 6392966, 6542158, 6711254, 6737868, 6737868, 6829621, 6924324, 7046834, 7104675, 7156584, 7252685, 7392397, 7639236, 7939311, 8492752, 9531957, 16242576]
Information Technology;[17, 18];[3004269, 3374802, 3839005, 4268924, 4492528, 4610058, 4790823, 5027393, 5216088, 5292077, 5489855, 5619326, 5711050, 5920550, 6044479, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6142632, 6178634, 6198265, 6248787, 6248787, 6252045, 6297582, 6325004, 6371061, 6414845, 6433490, 6484015, 6546573, 6603853, 6643318, 6710485, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737880, 6760379, 6794359, 6833237, 6860120, 6884590, 6924324, 6924324, 6942379, 6982869, 7011171, 7046605, 7057806, 7104675, 7104675, 7104675, 7104675, 7104675, 7107333, 7144290, 7163827, 7187377, 7216181, 7231855, 7272108, 7297670, 7349058, 7386208, 7469124, 7514995, 7593783, 7646947, 7783327, 7839813, 7890176, 8019200, 8236311, 8370794, 8579187, 8897734, 9413874, 10106916, 10995598, 12886820, 16242576]
Information Technology;[17, 18, 19];[2924646, 3169459, 3314354, 3411793, 3500714, 3593347, 3699573, 3820316, 3894405, 3970248, 4102265, 4237454, 4424983, 4557910, 4615709, 4780134, 4947799, 5067576, 5208047, 5285218, 5482728, 5623236, 5717266, 5878243, 5960236, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6135404, 6168687, 6197860, 6248787, 6248787, 6266334, 6320725, 6371061, 6431383, 6445698, 6533365, 6567895, 6618261, 6693080, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6760379, 6793138, 6835287, 6860120, 6919743, 6924324, 6943222, 6983965, 7019833, 7055788, 7104675, 7104675, 7104675, 7104675, 7106770, 7153094, 7166618, 7206643, 7226927, 7268536, 7297711, 7349208, 7415447, 7486278, 7593734, 7640517, 7786115, 7845459, 7936686, 8062798, 8262787, 8374738, 8593562, 8927698, 9332268, 9602629, 10080643, 10862862, 11934852, 14224275, 19398381]
Information Technology;[18, 19];[2971897, 3199008, 3337666, 3443002, 3511691, 3603723, 3722732, 3838388, 3898380, 4024768, 4121203, 4306189, 4487467, 4577972, 4646094, 4824731, 4991444, 5123836, 5231365, 5317563, 5500458, 5650483, 5787017, 5914668, 6023983, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6126506, 6142386, 6178673, 6205925, 6248787, 6248787, 6285886, 6325640, 6386345, 6431573, 6471712, 6542158, 6590550, 6643065, 6714655, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737868, 6737875, 6767675, 6798998, 6841684, 6860120, 6921271, 6924324, 6955278, 6988663, 7022905, 7055788, 7104675, 7104675, 7104675, 7104675, 7107316, 7153498, 7171426, 7211184, 7231066, 7268823, 7303024, 7353814, 7416455, 7494389, 7593734, 7640778, 7793501, 7847355, 7947617, 8069137, 8268895, 8382367, 8595226, 8933687, 9338524, 9608374, 10081293, 10878894, 11965598, 14230651, 19398381]
