Legal;13;930143.342729;1098574.6595;2269406.1085
Legal;14;1337418.87575;1618894.885;3739593.6815
Legal;15;2249552.44652;2584908.92;4733510.7424
Legal;16;3311144.67824;3942113.948;6669916.5064
Legal;18;5902251.792;6830084.628;12141913.9
Legal;19;7467441.02331;8123649.954;15321724.51
Legal;22;11064801.3462;12136287.58;19726820.951
Legal;24;13259951.5432;14026600.89;30302453.844
Engineering;10;139005.72;170573.7169;388007.9383
Engineering;11;317677.881312;395093.1911;668654.1756
Engineering;12;509299.3201;615110.6042;1240778.8989
Engineering;13;894873.29634;1068658.307;1772091.929
Engineering;14;1407861.00965;1804865.4485;2838339.143
Engineering;15;1980225.61544;2330582.448;3750391.0926
Engineering;16;2755841.204;3289455.01;5544162.8998
Engineering;17;2442507.60908;2617421.761;3450537.7428
Engineering;18;4687255.92464;5441463.148;8405640.7848
Engineering;19;5915234.84228;6529464.112;10380677.444
Engineering;20;8210271.42223;8475808.2105;8713414.2398
Engineering;22;8183468.94231;9514712.919;14067671.905
Engineering;24;11665680.5125;12523006.85;16352984.13
Engineering;27;7735584.8855;8172033.969;16110153.9458
Human Resources;10;298370.286336;363948.2968;1096317.1072
Human Resources;11;301390.306704;371692.0224;856869.37275
Human Resources;12;519581.738055;634472.48545;1212128.567
Human Resources;13;843696.623548;1112732.573;2277295.0236
Human Resources;14;1186885.50851;1444028.7415;2649840.2684
Human Resources;15;1982899.59765;2380166.464;4121565.4575
Human Resources;16;2992680.40616;3564865.885;6076199.2384
Human Resources;18;5483967.7668;6513018.303;10343418.0
Human Resources;19;6890809.22863;7846911.582;13458594.677
Human Resources;22;9095935.2328;10737174.87;22308188.722
Marketing - B2B;10;538300.64826;552621.0815;612089.0855
Marketing - B2B;11;366827.134584;444919.7808;853136.4145
Marketing - B2B;12;495460.460133;577085.98245;1087044.435
Marketing - B2B;13;1001564.1486;1080967.282;2215413.559
Marketing - B2B;14;1280557.80312;1511186.8605;2678607.4735
Marketing - B2B;15;1755953.23756;2093133.231;3413113.8332
Marketing - B2B;16;2900141.21432;3401591.912;6654753.2914
Marketing - B2B;18;4780229.58166;5480417.608;10395170.5076
Marketing - B2B;19;5886244.187;7119373.977;9706748.72
Marketing - B2B;22;13666224.9043;17293065.75;21271547.678
Marketing - B2B;24;9699685.69607;12590506.4635;18118480.446
Customer Service;10;141383.603914;173493.354;342180.55816
Customer Service;11;279620.342956;325107.1728;583099.55408
Customer Service;12;543211.558288;637250.6129;1109299.5608
Customer Service;13;778897.872664;943102.706;1577280.6738
Customer Service;14;1333041.31575;1548713.1145;2427653.9885
Customer Service;15;1932696.89893;2222104.9325;4032449.6647
Customer Service;16;3125050.7312;3921782.2875;6906158.065
Customer Service;18;6449408.8375;7864899.3765;11234506.47
Customer Service;19;6863988.23772;7292993.932;9470475.5639
Customer Service;22;9920074.35842;12916576.91;15935881.242
Corporate Affairs;10;220690.492416;245473.341;349722.22502
Corporate Affairs;11;315208.408134;361161.8849;631221.07652
Corporate Affairs;12;538463.700704;667013.33055;1399233.1183
