Hatchery;9;g2;[[9, 10], [11, 12], [13, 14]];1;1
Hatchery;10;g1;[[10], [11], [12], [13]];1;1
Hatchery;11;g1;[[10], [11], [12], [13]];1;1
Hatchery;12;g1;[[10], [11], [12], [13]];1;1
Hatchery;13;g1;[[10], [11], [12], [13]];0;0
Hatchery;14;g2;[[9, 10], [11, 12], [13, 14]];0;0
Customer Care - Call Centre;8;g2;[[8, 9, 10], [11, 12, 13], [14, 15, 16], [17, 18, 19]];1;1
Customer Care - Call Centre;9;g2;[[9, 10], [11, 12], [13, 14], [15, 16], [17, 18]];1;1
Customer Care - Call Centre;10;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;11;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;12;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;13;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;14;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;15;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];1;1
Customer Care - Call Centre;16;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];0;1
Customer Care - Call Centre;17;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19]];1;1
Customer Care - Call Centre;18;g1;[[10], [11], [12], [13], [14], [15], [16], [18]];0;0
Customer Care - Call Centre;19;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19]];0;0
Customer Care - Call Centre;20;g2;[[9, 10, 11], [12, 13, 14], [15, 16, 17], [18, 19, 20]];0;0
Engineering - Electrical & Electronics;8;g2;[[8, 9, 10], [11, 12, 13], [14, 15, 16], [17, 18, 19]];1;1
Engineering - Electrical & Electronics;9;g2;[[9, 10], [11, 12], [13, 14], [15, 16], [17, 18], [19, 20]];1;1
Engineering - Electrical & Electronics;10;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;11;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;12;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;13;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;14;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;15;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;16;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];0;1
Engineering - Electrical & Electronics;17;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19]];1;1
Engineering - Electrical & Electronics;18;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];1;1
Engineering - Electrical & Electronics;19;g1;[[10], [11], [12], [13], [14], [15], [16], [18], [19]];0;0
Engineering - Electrical & Electronics;20;g2;[[9, 10], [11, 12], [13, 14], [15, 16], [17, 18], [19, 20]];0;0
Engineering - Electrical & Electronics;21;g2;[[10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21]];0;0
Marketing;8;g2;[[8, 9, 10], [11, 12, 13], [14, 15, 16], [17, 18, 19], [20, 21, 22], [23, 24, 25], [26, 27, 28]];1;1
Marketing;9;g2;[[9, 10], [11, 12], [13, 14], [15, 16], [17, 18], [19, 20], [21, 22], [23, 24], [27, 28]];1;1
Marketing;10;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;11;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;12;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;13;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;14;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;15;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;16;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;17;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;18;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;19;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];1;1
Marketing;20;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];0;1
Marketing;21;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23], [24, 25], [26, 27]];1;1
Marketing;22;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];0;1
Marketing;23;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23], [24, 25], [26, 27]];1;1
Marketing;24;g1;[[10], [11], [12], [13], [14], [15], [16], [17], [18], [19], [20], [22], [24], [27]];0;1
Marketing;25;g2;[[10, 11], [12, 13], [14, 15], [16, 17], [18, 19], [20, 21], [22, 23], [24, 25], [26, 27]];1;1
